_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,ID,NAME,UNIT,PHONE,EMAIL,RENTAL,OBJECTID,geometry
59,9340728,1639B,Bayview Ave,1639B Bayview Ave,M4G 3B5,East York,Toronto,Don Valley West (15),None,115001,9340683,1639,B,,None,24,50,Flying Wheels,None,416-487-5601,flyingwheels@yahoo.ca,NO,59,"{'type': 'Point', 'coordinates': (-79.3752587164862, 43.70689365281841)}"
64,17494,550,Bayview Ave,550 Bayview Ave,M4W 3X8,East York,Toronto,University-Rosedale (11),None,115001,30040116,550,None,,None,24,14,Bike Works ,None,416-596-7670,bikeworks@evergreen.ca ,YES,64,"{'type': 'Point', 'coordinates': (-79.3656279720028, 43.6837833500449)}"
66,27233,94,Laird Dr,94 Laird Dr,M4G 3V2,East York,Toronto,Don Valley West (15),None,115001,646,94,None,,None,215,45,Endurosport,None,416-449-0432,leaside@endurosport.com,YES,66,"{'type': 'Point', 'coordinates': (-79.3621154100358, 43.7057760781952)}"
67,13991469,109,Vanderhoof Ave,109 Vanderhoof Ave,M4G 2H7,East York,Toronto,Don Valley West (15),None,115001,286,109,None,,None,366,52,Gears Bike Shop,None,647-729-2500 or 1-888-984-3277,ira@gearsbikeshop.com ,NO,67,"{'type': 'Point', 'coordinates': (-79.3591445811157, 43.7126449413268)}"
69,30044592,389,Donlands Ave,389 Donlands Ave,M4J 3S2,East York,Toronto,Toronto-Danforth (14),None,115001,10269630,389,None,,None,109,5,Benjamin Sports Sales & Services,None,416-429-0493,bikes@benjaminsports.com,NO,69,"{'type': 'Point', 'coordinates': (-79.342430123776, 43.693609699346105)}"
88,32638,95,Research Rd,95 Research Rd,M4G 2G8,East York,Toronto,Don Valley West (15),None,115001,283,95,None,,None,303,76,Sandy's Cycle Shop and Books,1,416-467-1035,sandyscycle@hotmail.com ,NO,88,"{'type': 'Point', 'coordinates': (-79.3518036697309, 43.7129910473312)}"
92,20037712,1541,Bayview Ave,1541 Bayview Ave,M4G 3B5,East York,Toronto,Don Valley West (15),None,115001,9340638,1541,None,,None,24,80,Sport Swap,None,416-481-7927,info@sportswap.com ,NO,92,"{'type': 'Point', 'coordinates': (-79.3746358384247, 43.7050595562078)}"
3,9941962,3731,Lake Shore Blvd W,3731 Lake Shore Blvd W,M8W 1P9,Etobicoke,Toronto,Etobicoke-Lakeshore (3),None,115001,9941960,3731,None,,None,1962,68,Oxygen Bike Co.,None,416-259-2453,ride@oxygenbikes.com ,NO,3,"{'type': 'Point', 'coordinates': (-79.5396900228783, 43.5928214544976)}"
9,982341,835,Albion Rd,835 Albion Rd,M9V 1A3,Etobicoke,Toronto,Etobicoke North (1),None,115001,907164,835,None,,None,1012,6,Bicycle Depot ,None,416-741-1452,bicycledepot@hotmail.com ,NO,9,"{'type': 'Point', 'coordinates': (-79.5596401890592, 43.7343557930049)}"
24,3154977,2749,Lake Shore Blvd W,2749 Lake Shore Blvd W,M8V 1H2,Etobicoke,Toronto,Etobicoke-Lakeshore (3),None,115001,3154976,2749,None,,None,1962,29,Cycle Butik,None,647-258-0012,sales@cyclebutik.com ,NO,24,"{'type': 'Point', 'coordinates': (-79.4985296091522, 43.6020378479698)}"
